titles,body
Protects from thorns but not for harder use around the garden...,"I brought these to help clear my garden of brambles, etc. Yes they do protect from brambles (as specified) and were comfy to wear but after three days of digging and removing plants they wore through on the upper finger-tip & knuckle (weird, as the palm-leather is still A-OK as you can see in the photos). It looks like there is a weakness on the interface between the leather & the upper material. So if you need a harder working gardening glove that also protects from brambles then I would recommend the WORKMAXX gardening gloves with tougher parts. Yes they will be heavier but I didn't know what the quality/longevity of the NickyPicky glove was like until I used it."
Great but lack durability,I bought these in March !they are really comfortable but sadly already a hole in the finger tips. I would have thought at least a year out of them.
"Fits the bill, but neatly.","I have used the gloves once and they seemed to be robust and to fit the bill. I was surprised that they weren't a bigger fit, as I opted for a large. They were quite neat, but not too small as to be a problem. If you normally take large, you might want to consider an extra large."
A lot of moisture not drying easily,"they are nice and comfy but the sustain a lot of humidity, and takes forever to dry"
Good protection but...,"These offer good protection against thorns and so on, but I rarely use them because they are uncomfortable. They seem to have several sharp bits that feel like they are scratching my hands and fingers while in use. Also the yellow leather inside at the finger tips is disintegrating and ends up in my fingernails. Not what you want from gloves that are supposed to help keep your hands clean!"
Small is big on the fingers,"Bit disappointed with these, brought two pairs of small, but on trying them, there is to much material in each finger, wasn't able to pick stuff up using them because of this. By no means are my hands tiny and I have long fingers, they fit on my hand but the fingers are too long, shame as they look like and feel of good quality."
Size,It says large but would hardly fit my 9 yr old daughter's hands.
Lovely material,"Really like the look and feel of these gloves. Unfortunately as there is no elastic or strap around the wrist, soil gets inside the gloves, which is very uncomfortable and means have to keep stopping what you're doing (planting etc), to remove the soil from inside the glove. If there was a Velcro wrist strap, then I would have given them 5 stars."
Too Wide,"These gloves are not suitable for women. The fingers and the palms are too wide.I only use them in the house for playing with my dog as I don’t want to touch his saliva-covered toys with my bare hands. Unlike lots of other leather gloves I’ve tried, they don’t let the moisture from the saliva seep through after extended use which makes them perfect for me. Another good thing is they don’t rip when someone accidentally catches my fingers, as well as his toy, between his teeth and he yanks on them - actually, this is where wide fingers come in handy, as it’s the gloves between his teeth, not my actual digit. His teeth, so far, have not pierced the leather. If the hands were only more fitting I could happily use them in the garden.Another good point: if you get an itch on your nose or perspiration on your upper lip, the suede on the back of the gloves is perfect for taking care of it."
Only partially thorn-resistant,Not fully resistant to bramble horns. B&Q white leather gloves were better. This leather is quite soft.
